관측일,평균기온,최저기온,최고기온,수온(℃),pH,DO(㎎/L),탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖)
2018-12-10,-1.7,-8.3,6.3,8.3,7.6,10.6,3.4,17.9,0.0
2018-12-17,2.4,-2.5,7.6,6.8,7.6,12.0,2.6,9.2,0.0
2018-12-24,1.6,-1.3,5.5,6.4,7.6,11.0,2.5,6.8,0.0
2018-12-31,-1.4,-8.3,5.6,4.9,7.6,12.0,1.8,9.5,0.0
2019-01-07,0.9,-5.6,6.1,3.3,7.8,12.4,1.6,10.9,0.0
2019-01-14,1.9,-3.9,9.2,3.7,7.8,11.7,1.8,15.5,0.0
2019-01-21,1.7,-3.4,8.2,3.7,7.9,10.5,1.9,23.9,0.0
2019-01-28,3.0,-1.9,8.7,3.6,8.4,10.1,2.0,33.7,0.0
2019-02-07,4.3,-1.7,8.7,3.4,8.7,12.9,2.4,35.6,0.0
2019-02-11,0.7,-2.9,4.7,3.1,8.7,13.1,2.6,37.8,0.0
2019-02-18,4.5,-1.8,9.2,3.4,8.7,12.7,3.0,39.8,0.0
2019-02-25,9.0,3.6,15.2,4.1,8.8,12.6,4.3,42.2,0.0
2019-03-04,10.8,5.9,16.9,5.7,8.8,12.5,3.4,42.7,0.0
2019-03-11,8.2,2.1,14.4,6.0,8.8,12.1,4.1,54.4,0.0
2019-03-18,8.8,0.6,16.9,7.3,8.9,12.1,2.9,50.9,0.0
2019-03-25,8.9,1.1,15.6,7.8,8.9,11.1,3.6,49.3,0.0
2019-04-01,7.0,2.4,11.8,8.6,8.9,9.9,3.3,31.6,0.0
2019-04-08,13.2,6.5,21.4,9.9,8.8,9.8,3.2,25.8,0.0
2019-04-22,17.7,11.6,25.5,13.2,8.8,9.4,3.7,23.0,0.0
2019-04-29,10.8,9.0,12.0,13.3,8.5,9.1,5.7,14.3,0.0
2019-05-07,15.5,7.2,22.5,14.9,8.3,8.4,4.9,27.9,0.0
2019-05-13,19.5,12.2,27.3,16.0,7.9,8.3,4.7,12.3,0.0
2019-05-20,19.0,14.5,22.4,17.3,7.6,6.8,5.4,9.9,0.0
2019-05-27,21.2,19.0,23.7,18.0,7.7,6.7,9.1,22.5,0.0
2019-06-03,25.4,16.7,33.0,19.8,7.5,6.4,7.8,29.7,0.0
2019-06-10,19.0,15.0,23.7,21.0,7.5,6.2,6.8,25.1,0.0
2019-06-17,23.9,18.4,30.0,21.0,7.5,6.3,3.0,16.9,0.0
2019-06-24,22.9,17.5,30.2,22.9,7.4,6.2,3.7,10.5,35.0
2019-07-01,24.3,21.2,27.6,22.8,7.3,6.4,5.9,5.9,0.0
2019-07-08,22.3,19.6,27.0,23.2,7.4,6.2,4.6,24.2,1401.0
2019-07-15,23.1,21.2,27.1,22.3,7.3,6.3,4.1,18.0,754.0
2019-07-22,28.3,23.0,33.7,23.4,7.4,5.9,7.4,5.0,82.0
2019-07-29,29.4,24.5,34.6,23.6,7.4,5.7,3.8,37.1,324.0
2019-08-05,30.0,25.3,36.2,23.9,7.3,5.0,3.4,6.3,167.0
2019-08-12,29.9,26.6,34.6,23.9,7.3,4.9,3.2,13.6,327.0
2019-08-19,27.0,24.1,31.8,23.6,7.3,5.0,4.0,11.4,656.0
2019-08-26,25.3,19.3,31.4,24.3,7.3,4.9,8.0,2.2,128.0
2019-09-02,20.7,19.9,22.4,22.9,7.2,5.3,5.6,8.8,245.0
2019-09-09,26.7,24.2,32.0,22.7,7.3,5.3,3.7,4.6,131.0
2019-09-16,22.0,17.6,27.7,23.2,7.4,5.1,6.1,16.5,1993.0
2019-09-23,19.1,17.0,21.4,20.4,7.3,5.4,11.0,7.5,834.0
2019-09-30,23.6,18.2,30.1,20.4,7.4,6.4,5.5,6.1,216.0
2019-10-07,15.4,13.7,17.9,19.6,7.1,7.4,15.3,4.3,0.0
2019-10-14,16.4,9.6,22.8,19.4,7.1,7.8,10.2,4.6,0.0
2019-10-21,15.5,11.1,22.4,17.7,7.2,9.1,9.7,5.5,31.0
2019-10-28,11.4,3.9,19.4,17.2,7.2,9.8,9.5,6.9,0.0
2019-11-04,13.6,8.4,18.0,16.2,7.2,9.8,8.3,8.3,0.0
2019-11-11,12.5,7.3,18.4,15.5,7.2,10.4,8.0,13.6,0.0
2019-11-18,11.3,4.9,20.6,13.6,7.2,10.6,5.4,9.7,0.0
2019-11-25,8.9,6.7,13.7,11.7,7.2,11.6,4.4,6.1,0.0
2019-12-02,5.1,1.3,7.5,11.0,7.4,10.4,3.2,7.5,0.0
2019-12-09,2.3,-3.9,10.9,8.9,7.4,11.4,3.1,8.0,0.0
2019-12-16,6.1,-0.6,13.2,8.3,7.4,10.2,2.1,7.4,0.0
2019-12-23,3.3,-2.6,10.4,8.1,7.4,10.4,2.0,8.0,0.0
2019-12-30,5.2,1.8,10.6,7.5,7.4,10.5,2.3,10.7,0.0
2020-01-06,1.2,-1.4,3.0,5.9,7.5,12.2,2.2,14.3,0.0
2020-01-13,2.1,-0.6,5.5,5.1,7.6,12.3,2.0,16.4,0.0
2020-01-20,4.7,2.4,8.1,5.1,7.6,12.0,2.3,18.5,0.0
2020-01-28,7.4,4.5,11.1,4.7,7.7,12.0,1.5,23.0,0.0
2020-02-03,3.4,0.3,7.5,4.7,7.7,12.0,1.5,14.6,0.0
2020-02-10,5.6,1.4,12.1,4.7,7.5,11.6,1.8,21.8,0.0
2020-02-17,-1.3,-4.2,1.8,4.4,8.4,12.0,1.5,21.9,0.0
2020-02-24,7.7,-1.2,16.4,,,,,,
2020-03-02,7.1,4.2,11.5,,,,,,
2020-03-09,9.0,1.6,15.1,7.9,8.4,12.3,2.6,31.3,0.0
2020-03-16,6.2,0.8,12.1,7.1,8.8,12.6,2.8,41.6,0.0
2020-03-23,11.3,3.0,20.1,9.4,8.8,12.7,2.7,36.2,0.0
2020-03-30,11.3,6.1,18.3,9.6,8.7,12.3,3.3,37.6,0.0
2020-04-06,11.2,1.3,18.9,10.6,8.9,12.0,3.8,52.9,0.0
2020-04-13,10.3,6.4,16.7,10.6,8.7,11.5,4.9,28.8,0.0
2020-04-20,13.6,9.6,19.8,11.8,8.2,11.2,4.5,24.3,0.0
2020-04-27,12.8,5.4,20.0,12.8,8.1,10.7,4.0,16.3,246.0
2020-05-04,21.4,14.7,29.7,16.3,7.7,9.4,4.7,10.4,0.0
2020-05-11,21.2,12.9,28.6,16.6,7.5,8.4,5.2,5.2,0.0
2020-05-18,19.8,17.2,23.5,17.0,7.7,8.4,5.9,8.2,0.0
2020-05-25,21.3,16.0,26.3,17.9,7.6,8.7,6.1,20.1,0.0
2020-06-01,23.9,19.9,29.1,20.0,7.7,8.1,4.6,11.0,0.0
2020-06-08,26.6,17.4,35.6,22.2,7.5,8.1,3.7,11.2,0.0
2020-06-15,25.8,19.9,31.8,24.0,7.6,6.9,8.2,21.0,0.0
2020-06-22,25.1,16.2,33.5,24.3,7.7,7.5,6.8,31.9,0.0
2020-06-29,22.2,19.8,26.8,23.9,7.5,7.2,4.0,14.5,0.0
2020-07-06,23.9,19.9,28.1,24.6,7.6,6.7,5.3,14.5,283.0
2020-07-13,19.3,18.2,21.0,22.4,7.6,7.3,5.0,20.4,201.0
2020-07-20,29.0,25.9,32.8,24.0,7.6,7.7,7.5,14.9,231.0
2020-07-27,22.6,21.3,24.6,20.4,7.4,7.8,11.7,3.6,0.0
2020-08-03,29.1,25.7,33.0,20.4,7.3,7.3,13.5,2.2,0.0
2020-08-10,26.2,24.2,30.6,21.4,7.2,7.6,47.2,0.9,0.0
2020-08-18,30.0,24.8,35.9,24.4,7.2,7.5,17.8,5.1,0.0
2020-08-24,28.6,23.6,33.9,25.1,7.2,6.2,7.5,2.7,73.0
2020-08-31,25.4,23.8,27.4,25.2,7.3,7.3,7.4,11.8,0.0
2020-09-08,25.6,22.1,30.3,22.4,7.3,7.2,46.3,2.3,0.0
2020-09-14,22.5,18.0,28.6,22.4,7.2,7.3,22.6,2.2,0.0
2020-09-21,18.0,12.0,24.4,21.6,7.2,7.2,16.9,3.1,0.0
2020-09-28,17.7,11.7,24.1,21.5,7.2,7.1,12.5,5.5,0.0
2020-10-05,15.8,11.0,20.1,20.8,7.2,7.3,15.2,4.7,0.0
2020-10-12,17.4,12.4,23.5,19.9,7.1,7.3,8.4,4.8,0.0
2020-10-19,14.3,7.1,22.4,19.0,7.2,6.9,6.1,7.3,0.0
2020-10-26,13.4,6.2,21.6,18.1,7.3,7.8,7.2,9.3,0.0
2020-11-02,13.1,6.9,18.2,16.7,7.4,8.8,8.0,14.7,0.0
2020-11-09,8.2,4.1,12.8,14.6,7.5,9.5,8.1,29.3,0.0
2020-11-16,12.2,5.0,20.3,13.4,7.7,10.2,7.8,46.1,0.0
2020-11-23,6.0,2.7,10.5,13.4,7.6,11.8,8.6,48.3,0.0
2020-11-30,3.8,0.8,8.2,11.1,7.9,11.1,6.4,53.1,0.0
2020-12-07,4.4,-1.8,11.3,9.5,7.7,12.0,3.5,37.4,0.0
2020-12-14,-2.9,-5.6,-0.5,8.5,7.9,12.2,3.0,13.1,81.0
2020-12-21,0.6,-4.5,5.9,5.1,7.9,12.2,3.4,7.5,0.0
2020-12-28,3.9,0.4,12.6,4.3,7.7,12.5,1.7,6.5,0.0
2021-01-04,-0.3,-5.8,5.5,3.7,8.0,13.0,2.1,7.9,0.0
2021-01-11,-4.3,-8.5,-0.8,2.1,7.9,12.9,1.6,6.7,0.0
2021-01-18,-1.9,-6.6,4.4,1.6,7.8,8.4,1.6,10.0,0.0
2021-01-25,7.5,3.0,12.0,3.6,7.5,12.4,2.4,9.5,0.0
2021-02-01,7.1,3.9,10.1,2.6,7.5,13.2,2.2,7.7,0.0
2021-02-08,0.7,-2.3,4.4,2.8,7.5,13.5,2.0,5.4,0.0
2021-06-28,23.9,21.3,28.0,24.2,7.6,7.9,7.3,41.0,0.0
2021-07-05,24.1,20.6,27.2,24.2,7.5,6.8,8.5,24.9,790.0
2021-07-12,27.0,22.2,34.1,23.9,7.7,7.6,19.6,8.7,369.0
2021-07-19,27.1,23.8,31.6,25.4,9.0,8.2,11.2,31.4,910.0
2021-07-26,28.4,23.4,33.9,25.4,7.5,7.9,10.8,27.1,5424.0
2021-08-02,27.8,25.0,32.9,26.2,7.8,6.4,34.0,36.3,46120.0
2021-08-09,27.3,23.1,33.0,26.1,7.6,6.1,9.5,11.1,8942.0
2021-08-17,23.4,21.7,26.9,25.6,7.4,5.7,5.5,10.3,5420.0
2021-08-23,23.2,21.2,24.9,24.8,7.3,5.9,11.5,10.5,2240.0
2021-08-30,25.3,22.0,30.6,23.0,7.2,6.3,7.7,3.9,0.0
2021-09-06,21.7,19.4,25.6,21.6,7.4,6.8,8.1,15.3,5530.0
